year,day,denMice,meanBurdenLarvae,meanBurdenNymphs,prevBbMice,prevBbNymphs,prevBabMice,prevBabNymphs
2014,142,36,1.18,4.64,0.286,0.12,0.857,0.005
2014,155,36.2,1.5,7.18,0.143,0.113,1,0.0167
2014,168,33.5,0.88,2.73,0.333,0.182,0.667,0
2014,182,42.1,1.91,5.09,0,0.083,1,0.0417
2014,197,44.6,4.97,1.52,0.5,0.357,0.833,0.03257
2014,211,69.7,46.67,0.87,0.143,,0.929,
2014,225,10.2,33.44,0.1,0.5,,0.75,
2015,147,17.5,7.57,5.62,0.694,0.125,0.778,0.021
2015,160,23,6.79,4.46,0.5,0.167,0.806,0
2015,174,20.3,4.89,4.24,0.75,0.253,0.958,0.011
2015,189,18.1,4.97,2.81,0.812,0.324,0.969,0.074
2015,203,24.3,13.64,1.89,0.762,0.204,0.857,0.054
2015,217,26.2,43.51,0.6,0.639,0.167,0.836,0.056
2015,231,28.9,32.37,0.31,0.566,0.156,0.755,0.062
2016,145,48.5,2.94,3.1,0.22,0.065,0.977,0.202
2016,159,42.2,2.01,2.73,0.169,0.048,1,0.242
2016,174,34.9,1.86,1.98,0.188,0.128,1,0.456
2016,188,39.3,2.06,1,0.25,0.16,1,0.123
2016,202,44.6,14.14,0.31,0.337,,0.989,
2016,216,42.5,21.05,0.22,0.179,,1,
2016,230,44,16.04,0.33,0.227,,1,
